POGroup	Pokey (ASN)
17105-4	0000379671
17105-2	0000379518
17105-4	0000379615
17105-4	0000379667
17105-4	0000379666
17105-4	0000379560
17105-4	0000379544
17105-4	0000379683
17105-KC	0000379523
17105-4	0000379658
17105-4	0000379514
17105-2	0000379627
17105-4	0000379721
17105-4	0000379682
17105-1	0000379552
17105-2	0000379599
17105-4	0000379580
17105-4	0000379720
17105-4	0000379619
17105-4	0000379717
17105-4	0000379704
17105-1	0000379594
17105-1	0000379593
17105-4	0000379636
17105-4	0000379702
17105-2	0000379710
17105-2	0000379652
17105-4	0000379499
17105-4	0000379503
17105-4	0000379647
17105-4	0000379649
17105-4	0000379569
17105-4	0000379579
17105-2	0000379680
17105-2	0000379662
17105-4	0000379597
17105-4	0000379484
17105-RETAG	0000379624
17105-4	0000379502
17105-4	0000379715
17105-2	0000379530
17105-4	0000379609
17105-4	0000379508
17105-4	0000379618
17105-4	0000379612
17105-1	0000379685
17105-4	0000379697
17105-4	0000379501
17105-4	0000379500
17105-1	0000379562
17105-2	0000379635
17105-4	0000379479
17105-4	0000379663
17105-1	0000379653
17105-4	0000379700
17105-4	0000379633
17105-4	0000379568
17105-4	0000379678
17105-4	0000379526
17105-4	0000379690
17105-4	0000379617
17105-1	0000379684
17105-2	0000379559
17105-2	0000379488
17105-2	0000379601
17105-2	0000379655
17105-4	0000379706
17105-RETAG	0000379486
17105-4	0000379724
17105-4	0000379692
17105-KC	0000379525
17105-2	0000379509
17105-2	0000379563
17105-4	0000379669
17105-4	0000379693
17105-4	0000379577
17105-4	0000379482
17105-4	0000379588
17105-4	0000379650
17105-4	0000379604
17105-2	0000379548
17105-4	0000379673
17105-2	0000379590
17105-4	0000379487
17105-2	0000379489
17105-4	0000379607
17105-2	0000379686
17105-KC	0000379643
17105-4	0000379496
17105-4	0000379610
17105-4	0000379589
17105-4	0000379672
17105-2	0000379616
17105-2	0000379646
17105-4	0000379571
17105-4	0000379575
17105-4	0000379553
17105-4	0000379637
17105-4	0000379498
17105-4	0000379694
17105-2	0000379595
17105-4	0000379519
17105-4	0000379529
17105-KC	0000379539
17105-1	0000379723
17105-4	0000379642
17105-4	0000379535
17105-4	0000379538
17105-4	0000379668
